time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-05-13,84,552,158,988,291,203691,0.12872159135324437,2.973148929941068,2.9999568882227625,3.3350729617772523,2.7680238326951896,658643213.76,2996674983.92,998906016.18,41.0,0.0309,101.0
2024-05-14,83,560,153,985,293,230558,0.11932581520126087,3.004197415717848,2.787421786442328,3.141110394360099,2.7768638282193625,900106478.77,2784372364.57,998906006.3,44.0,0.0419,615.0
2024-05-15,84,549,138,972,253,217463,0.11387533462595117,2.7827913588085385,3.082932759121692,3.0832271930186206,2.7609187651603677,949393743.84,3079560047.52,998906005.46,43.0,0.0352,147.0
2024-05-16,80,538,114,952,215,145001,0.11391088866048213,3.0609657351,2.8415962726,3.131177728386179,2.7594890301,675807341.9,2838487549.81,998905994.22,39.0,0.031,823.0
2024-05-17,80,511,125,870,195,361943,0.10793870570325789,2.8415962726,2.7897668429,2.9454499290899196,2.7864152083,539602243.96,2786714819.58,998905993.4,51.0,0.0274,589.0
2024-05-18,79,521,128,912,198,156706,0.11930645275228997,2.7897668429,2.5544477196,2.8314161925825805,2.5264967346446903,836556737.77,2551654474.9,998905992.32,49.0,0.0423,398.0
2024-05-19,77,509,102,820,136,119433,0.11450546903255447,2.5544490618,2.5294276721,2.6244126268,2.4447504755,464877509.3,2526660458.58,998905992.24,39.0,0.0445,267.0
2024-05-20,80,526,147,833,191,96526,0.11029591878618879,2.5294276721,2.8258621153,2.8680361179,2.5136981308,842947755.31,2822758180.88,998905985.09,37.5,0.0379,110.0
2024-05-21,80,543,122,901,257,110815,0.10597743304072897,2.8258497026,2.7525246808,2.896061124386915,2.6739142502265243,769136686.82,2749513375.56,998905984.3,35.0,0.0285,280.0
2024-05-22,83,491,114,851,207,167507,0.09859362165305935,2.7525317743,3.0332975546,3.25328153754131,2.730671295300442,1408058611.0,3029978993.08,998905955.82,50.0,0.0462,18.0
2024-05-23,82,442,111,752,204,84523,0.10707400351407767,3.0334243681,2.9266518921,3.0487947344,2.7341703234,906978040.39,2923449997.76,998905953.12,54.0,0.0366,236.0
2024-05-24,83,461,101,772,169,156017,0.0947678800719843,2.9266518921,2.8727144176,2.9366015962,2.7273180936,410507951.64,2869571529.17,998905951.67,52.0,0.0259,529.0
2024-05-25,83,449,73,806,164,79987,0.09715994020926756,2.872094560297317,3.068935346490197,3.090468965827502,2.848161979972522,531931983.8,3065577781.1,998905951.08,36.0,0.031,118.0
2024-05-26,83,428,79,756,133,87800,0.09591912343116407,3.090039091624478,2.948362193067616,3.242314505377499,2.9307500396195754,617031601.98,2945136539.13,998905950.58,41.0,0.0285,790.0
2024-05-27,82,428,90,803,186,98287,0.09812727217181438,2.9517174825150243,3.3791972998931104,3.4396785670847425,2.947007174107734,954435470.37,3375500285.12,998905948.83,44.0,0.0428,83.0
2024-05-28,82,561,219,990,335,207515,0.11453667024545555,3.401338355204034,3.7728253531783342,3.815680130546057,3.1699986454201716,1428566838.64,3768697682.42,998905947.036133,35.0,0.0721,12.0
2024-05-29,83,616,190,969,264,284385,0.12264984418786565,3.7744165750854886,3.6903432701300773,4.0572693334515275,3.676033394552135,1131249304.67,3686305838.98,998905946.993813,55.5,0.0576,198.0
2024-05-30,85,441,153,650,262,214249,0.13360465355285606,3.6801187812975624,3.3677751704007464,3.788245599212192,3.3435081177558494,971402838.76,3364090621.24,998905939.69,49.5,0.0516,585.0
2024-05-31,72,526,105,919,183,219493,0.1275377443721715,3.37184280515402,3.3012470542030616,3.5436039735705385,3.187397782429718,643252702.17,3297635289.59,998905939.32,40.0,0.038,426.0
2024-06-01,82,480,91,845,161,114405,0.10292138389676193,3.3054332796886547,3.2760761408411705,3.4440396662501533,3.26543631865654,371478103.82,3272491914.67,998905939.3,33.0,0.0153,502.0
2024-06-02,81,439,91,767,188,136911,0.10520208538788298,3.275432775768823,3.206055086284905,3.3474678925569448,3.114191142136244,532889104.5,3202547464.99,998905938.54,43.0,0.0232,477.0
